CUSTOMER_ID,CUSTOMER_TYPE,COUNTRY,EMAIL
CUS0000073,PREMIUM,DE,42TRDW6ET32C
CUS0000074,STANDARD,DE,6Y39C2MU46JD
CUS0000075,STANDARD,DE,
CUS0000076,STANDARD,IN,277KXXSY0VDVEVG9YSQJVFJW
CUS0000077,STANDARD,FR,T9YVI7F16XBX
CUS0000078,STANDARD,IN,MOIJESG687CVIYJKLK2C0XP2S
CUS0000079,PREMIUM,FR,T4MX23SY670KMIQD4
CUS0000080,PREMIUM,US,HSFKR26J1FO2WB0DZ6XPYFXOBU
CUS0000081,PREMIUM,DE,CS4I42AFBQNJ97
CUS0000082,STANDARD,DE,DP03EH58B6PJS
CUS0000083,STANDARD,DE,LF7XE78669BY4CYXQBWEWPG
CUS0000084,PREMIUM,DE,8VL34LIE3CSMCMCUT6Z84
CUS0000085,STANDARD,IN,VRHX1Z2YVL5
CUS0000086,STANDARD,DE,
CUS0000087,STANDARD,US,1L8SUGFUST21
CUS0000088,STANDARD,FR,W1RDEZX6KBJ
CUS0000089,PREMIUM,FR,PXXYCJ2XX2EI
CUS0000090,STANDARD,FR,PHBL57Y9HQQ2NS5MHI
CUS0000091,PREMIUM,FR,FUWE98STKLX6OHMIP5BX9X39
CUS0000092,STANDARD,US,4700EIUE237WI9LI16DH7J
CUS0000093,STANDARD,IN,W7SFQM9RIT8F6KJKV
CUS0000094,PREMIUM,US,
CUS0000095,STANDARD,US,
CUS0000096,PREMIUM,DE,0B58ST4PZT3EDK2043NVJUUWZIX6
CUS0000097,STANDARD,DE,R2PJGDSY0PKUU
CUS0000098,STANDARD,IN,35T5BFZ63PNWDDS54S8AG1IQXZ
CUS0000099,STANDARD,FR,MX9SEY629RHIGZXV9XJM6Z6CCCI
CUS0000100,PREMIUM,FR,6IUUKZTV6685T4
